G_Name,Year,Amount,
Environmental Defense Fund Incorporated,2018,23690.00,
Climate Justice Resilience Fund,2019,562000.00,
Charles Stewart Mott Foundation,2017,200000.00,
Wallace Global Fund II,2017,40000.00,
Charles Stewart Mott Foundation,2015,300000.00,
Wallace Global Fund II,2015,50000.00,
Mama Cash,2019,16772.00,
Oak Foundation,2018,400000.00,
The William and Flora Hewlett Foundation,2020,400000.00,
The William and Flora Hewlett Foundation,2018,400000.00,
The William and Flora Hewlett Foundation,2016,400000.00,
The William and Flora Hewlett Foundation,2015,250000.00,
Wallace Global Fund II,2018,60000.00,
Global Greengrants Fund Inc,2017,6450.00,
Environmental Defense Fund Incorporated,2017,30000.00,
Environmental Defense Fund Incorporated,2017,30000.00,
The George Gund Foundation,2019,50000.00,
Sea Change Foundation,2016,600000.00,
Sea Change Foundation,2015,375000.00,
Sea Change Foundation,2015,375000.00,
"Unitarian Universalist Service Committee, Inc.",2020,129720.00,
"Unitarian Universalist Service Committee, Inc.",2019,42000.00,
"Unitarian Universalist Service Committee, Inc.",2018,57160.00,
The Alaska Community Foundation,2018,33000.00,
"Unitarian Universalist Service Committee, Inc.",2017,55000.00,
Climate Justice Resilience Fund,2018,300000.00,
Henry Luce Foundation Inc,2019,50000.00,
Global Greengrants Fund Inc,2016,5000.00,
Climate Justice Resilience Fund,2018,325000.00,
Chorus Foundation,2020,83333.00,
Chorus Foundation,2019,83333.00,
Chorus Foundation,2018,83333.00,
Rasmuson Foundation,2018,6000.00,
Alaska Conservation Foundation,2018,140563.00,
Sea Change Foundation,2015,100000.00,
Ford Foundation,2020,10000.00,
Wallace Global Fund II,2016,15000.00,
Urgent Action Fund for Women's Human Rights,2019,2000.00,
The Minneapolis Foundation,2016,45000.00,
Community Foundation for Southeast Michigan,2016,12500.00,
The George Gund Foundation,2019,10000.00,
Great Lakes Observing System Regional Associa,2019,76485.00,
The Heising-Simons Foundation,2018,1297726.00,
The Nathan Cummings Foundation,2018,130000.00,
The Heising-Simons Foundation,2017,224339.00,
The Heising-Simons Foundation,2016,708788.00,
The George Gund Foundation,2016,5080.00,
Oak Hill Fund,2017,30000.00,
"Rockefeller Brothers Fund, Inc.",2017,200000.00,
"The Morton K. and Jane Blaustein Foundation, Inc.",2019,50000.00,
"Town Creek Foundation, Inc.",2018,125000.00,
"Town Creek Foundation, Inc.",2018,12000.00,
"Town Creek Foundation, Inc.",2016,150000.00,
"Town Creek Foundation, Inc.",2015,225000.00,
"The Keith Campbell Foundation for the Environment, Inc.",2020,7587.00,
"Town Creek Foundation, Inc.",2018,150000.00,
"The Keith Campbell Foundation for the Environment, Inc.",2018,10000.00,
"Town Creek Foundation, Inc.",2017,175000.00,
"Town Creek Foundation, Inc.",2017,165000.00,
"Town Creek Foundation, Inc.",2017,40000.00,
"Town Creek Foundation, Inc.",2017,13000.00,
"The Keith Campbell Foundation for the Environment, Inc.",2017,8000.00,
"Schuh Family Foundation, Inc.",2017,500.00,
"Schuh Family Foundation, Inc.",2016,250.00,
Cedar Tree Foundation,2017,35327.00,
Global Greengrants Fund Inc,2018,5000.00,
Global Greengrants Fund Inc,2019,2500.00,
Fund for Women's Equality,2015,200000.00,
John D. and Catherine T. MacArthur Foundation,2015,325000.00,
Save the Redwoods League,2019,316146.00,
Save the Redwoods League,2017,371633.00,
Save the Redwoods League,2016,487413.00,
Save the Redwoods League,2015,385370.00,
Center for Disaster Philanthropy Inc,2020,75000.00,
The William and Flora Hewlett Foundation,2019,300000.00,
The Summit Foundation,2019,65000.00,
RSF Social Finance,2017,50000.00,
Full Circle Fund,2017,50000.00,
Wallace Global Fund II,2018,50000.00,
The Marisla Foundation,2016,100000.00,
"Rockefeller Brothers Fund, Inc.",2016,75000.00,
"Rockefeller Brothers Fund, Inc.",2015,125000.00,
Oxfordshire Community Foundation,2016,7643.00,
Barr Foundation,2019,700000.00,
Barr Foundation,2019,55000.00,
Barr Foundation,2018,115000.00,
New Hampshire Charitable Foundation,2018,30000.00,
The Priddy Foundation,2018,6000.00,
The Heising-Simons Foundation,2018,97315.00,
The Heising-Simons Foundation,2017,120240.00,
The Heising-Simons Foundation,2016,89230.00,
The Erkiletian Family Foundation,2017,4000.00,
The William and Flora Hewlett Foundation,2020,200000.00,
The William and Flora Hewlett Foundation,2019,550000.00,
Martha J. Weiner Charitable Foundation,2019,5000.00,
The JPMorgan Chase Foundation,2019,375.00,
Bernard and Anne Spitzer Charitable Trust,2018,500000.00,
"Bank of America Charitable Foundation, Inc.",2018,337166.00,
The William and Flora Hewlett Foundation,2018,250000.00,
Martha J. Weiner Charitable Foundation,2018,4000.00,
The JPB Foundation,2017,500000.00,
The William and Flora Hewlett Foundation,2017,200000.00,
"Bank of America Charitable Foundation, Inc.",2017,189500.00,
The William and Flora Hewlett Foundation,2017,50000.00,
Pisces Foundation,2017,35000.00,
Martha J. Weiner Charitable Foundation,2017,6000.00,
The JPB Foundation,2016,500000.00,
"Bank of America Charitable Foundation, Inc.",2016,360500.00,
The William and Flora Hewlett Foundation,2016,150000.00,
GE Foundation,2016,50000.00,
GE Foundation,2016,300.00,
"Bank of America Charitable Foundation, Inc.",2015,235000.00,
Legacy Alcoa Foundation,2015,100000.00,
Legacy Alcoa Foundation,2015,100000.00,
ClimateWorks Foundation,2015,50000.00,
Legacy Alcoa Foundation,2015,32500.00,
The David and Lucile Packard Foundation,2020,331448.00,
Marin Community Foundation,2020,100000.00,
BHP Foundation,2019,1621195.00,
Flora Family Foundation,2019,60000.00,
Marin Community Foundation,2019,25000.00,
Marin Community Foundation,2017,200000.00,
John D. and Catherine T. MacArthur Foundation,2015,2000000.00,
John D. and Catherine T. MacArthur Foundation,2015,1700000.00,
The William and Flora Hewlett Foundation,2020,500000.00,
The William and Flora Hewlett Foundation,2018,600000.00,
The William and Flora Hewlett Foundation,2017,300000.00,
Laura and John Arnold Foundation,2017,40500.00,
The William and Flora Hewlett Foundation,2016,350000.00,
The William and Flora Hewlett Foundation,2015,200000.00,
The Nathan Cummings Foundation,2015,100000.00,
Gordon and Betty Moore Foundation,2020,887000.00,
Meyer Memorial Trust,2020,250000.00,
Doris Duke Charitable Foundation,2019,3450000.00,
Doris Duke Charitable Foundation,2019,650000.00,
Oak Foundation,2019,374050.00,
The David and Lucile Packard Foundation,2019,250000.00,
The George Gund Foundation,2019,150000.00,
The Grove Foundation,2019,100000.00,
John D. and Catherine T. MacArthur Foundation,2018,995000.00,
The David and Lucile Packard Foundation,2018,550000.00,
The David and Lucile Packard Foundation,2018,250000.00,
The William and Flora Hewlett Foundation,2018,225000.00,
"Rockefeller Brothers Fund, Inc.",2018,25000.00,
John D. and Catherine T. MacArthur Foundation,2017,15000000.00,
Barr Foundation,2017,400000.00,
McKnight Foundation,2017,150000.00,
Overlook International Foundation Inc.,2017,138333.00,
Lennox Foundation,2017,99800.00,
Seattle Foundation,2017,5000.00,
V. Kann Rasmussen Foundation Inc.,2016,150000.00,
The David and Lucile Packard Foundation,2016,100000.00,
Linden Trust For Conservation,2016,25000.00,
The Springcreek Foundation,2016,7000.00,
Raymond James Charitable Endowment,2016,1000.00,
Doris Duke Charitable Foundation,2015,3970000.00,
John D. and Catherine T. MacArthur Foundation,2015,1500000.00,
Barr Foundation,2015,650000.00,
Barr Foundation,2015,400000.00,
McKnight Foundation,2015,300000.00,
Legacy Alcoa Foundation,2016,150000.00,
Doris Duke Charitable Foundation,2019,50000.00,
Conservation International Foundation,2019,40000.00,
Barr Foundation,2015,500000.00,
Curtis & Edith Munson Foundation,2017,20000.00,
Curtis & Edith Munson Foundation,2017,20000.00,
The New York Community Trust,2015,100000.00,
Virginia Environmental Endowment,2017,10000.00,
The William and Flora Hewlett Foundation,2019,600000.00,
CLEAN WATER FUND,2017,,
Hsu Family Educational Foundation Inc,2018,1000.00,
Hsu Family Educational Foundation Inc,2017,1000.00,
Green Cohan Foundation,2017,350.00,
Green Cohan Foundation,2016,500.00,
Searle Freedom Trust,2015,50000.00,
"American Jewish World Service, Inc.",2020,17000.00,
Urgent Action Fund - Africa,2019,,
Global Greengrants Fund Inc,2017,5000.00,
Oak Foundation,2016,100000.00,
Global Greengrants Fund Inc,2019,6000.00,
Global Greengrants Fund Inc,2018,3500.00,
Global Greengrants Fund Inc,2019,20000.00,
JRS Biodiversity Foundation,2018,275000.00,
Global Greengrants Fund Inc,2019,5000.00,
Global Greengrants Fund Inc,2018,5000.00,
Global Greengrants Fund Inc,2017,5000.00,
Global Greengrants Fund Inc,2016,3000.00,
The CarMax Foundation,2019,500.00,
Colcom Foundation,2019,100000.00,
Merck Family Fund,2019,25000.00,
Merck Family Fund,2018,25000.00,
Merck Family Fund,2017,25000.00,
Merck Family Fund,2016,25000.00,
Burroughs Wellcome Fund,2016,4500.00,
Multiplier,2018,27000.00,
Meyer Memorial Trust,2020,66000.00,
The Wilburforce Foundation,2019,35000.00,
Lisa and Douglas Goldman Fund,2019,25000.00,
Edna Wardlaw Charitable Trust,2019,25000.00,
Charlotte Y. Martin Foundation,2019,10000.00,
Clif Bar Family Foundation,2019,8000.00,
The Chicago Community Trust,2019,,
The Wilburforce Foundation,2018,35000.00,
The Wilburforce Foundation,2018,35000.00,
The Goatie Foundation,2018,30000.00,
Lisa and Douglas Goldman Fund,2018,25000.00,
Edna Wardlaw Charitable Trust,2018,20000.00,
Jubitz Family Foundation,2018,10000.00,
Earth Island Institute Inc,2018,7000.00,
Clif Bar Family Foundation,2018,5000.00,
The Chicago Community Trust,2018,3000.00,
The Chicago Community Trust,2018,3000.00,
The Chicago Community Trust,2018,3000.00,
The Chicago Community Trust,2018,3000.00,
The Chicago Community Trust,2018,3000.00,
The Chicago Community Trust,2018,3000.00,
The Chicago Community Trust,2018,3000.00,
The Chicago Community Trust,2018,3000.00,
The Chicago Community Trust,2018,3000.00,
The Chicago Community Trust,2018,3000.00,
The Hilda and Preston Davis Foundation,2017,235912.00,
Wells Fargo Foundation,2017,10000.00,
Jubitz Family Foundation,2017,10000.00,
Clif Bar Family Foundation,2017,5000.00,
Seattle Foundation,2017,5000.00,
Schwab Charitable,2016,360000.00,
The Goatie Foundation,2016,25000.00,
Laird Norton Family Foundation,2016,25000.00,
"The Sweetgrass Foundation, Inc.",2016,2000.00,
Oregon Community Foundation,2019,6000.00,
Charlotte Y. Martin Foundation,2016,25000.00,
Charlotte Y. Martin Foundation,2015,25000.00,
Equality Fund,2020,14824.00,
Global Greengrants Fund Inc,2018,5000.00,
Grace Richardson Fund,2018,20000.00,
Grace Richardson Fund,2017,10000.00,
Grace Richardson Fund,2016,5000.00,
Rochester Area Community Foundation Depository,2019,5000.00,
Robert and Ardis James Foundation Inc,2018,20000.00,
Edward & Julia Hansen Foundation,2018,15725.00,
The Fullerton Family Charitable Fund,2018,5000.00,
Morgan Stanley Global Impact Funding Trust Inc,2018,5000.00,
Suzette De Marginy Smith Family Foundation,2018,500.00,
Edward & Julia Hansen Foundation,2017,15734.00,
Edward & Julia Hansen Foundation,2017,15734.00,
Hoerle Foundation,2017,1500.00,
Seth Sprague Educational & Charitable Foundation,2016,10000.00,
"The Morton K. and Jane Blaustein Foundation, Inc.",2020,10000.00,
The Environment Foundation,2016,2500.00,
Global Greengrants Fund Inc,2019,5000.00,
Charles Stewart Mott Foundation,2015,75000.00,
"The Coca-Cola Foundation, Inc.",2018,500000.00,
"The Coca-Cola Foundation, Inc.",2017,500000.00,
The Andrew W. Mellon Foundation,2019,150000.00,
"Bloomberg Philanthropies, Inc.",2015,421350.00,
Barnes Family Foundation,2016,50.00,
Barnes Family Foundation,2016,50.00,
Bill & Melinda Gates Foundation,2019,35000.00,
Kresge Foundation,2018,75000.00,
"Georgia Power Foundation, Inc.",2018,10000.00,
"Georgia Power Foundation, Inc.",2017,20000.00,
"Georgia Power Foundation, Inc.",2017,20000.00,
"Georgia Power Foundation, Inc.",2017,15000.00,
"Georgia Power Foundation, Inc.",2017,15000.00,
Bowana Foundation,2016,10000.00,
Kresge Foundation,2018,150000.00,
John D. and Catherine T. MacArthur Foundation,2017,1000000.00,
Kresge Foundation,2017,300000.00,
The Nathan Cummings Foundation,2015,100000.00,
The Kendeda Fund,2015,50000.00,
Environmental Defense Fund Incorporated,2018,20000.00,
Omaha Community Foundation,2017,8000.00,
Onion Foundation,2018,15000.00,
"The John Ben Snow Foundation, Inc.",2020,7500.00,
Global Greengrants Fund Inc,2019,10000.00,
Global Greengrants Fund Inc,2017,10000.00,
Onion Foundation,2020,1000.00,
Elmina B. Sewall Foundation,2018,35000.00,
Onion Foundation,2017,7500.00,
Onion Foundation,2020,1000.00,
Onion Foundation,2019,10000.00,
The John Merck Fund,2020,75000.00,
Merck Family Fund,2019,30000.00,
The John Merck Fund,2018,60000.00,
Newman's Own Foundation,2018,10000.00,
Onion Foundation,2018,7500.00,
The John Merck Fund,2017,60000.00,
Environmental Defense Fund Incorporated,2017,59000.00,
Environmental Defense Fund Incorporated,2017,59000.00,
Mudge Foundation,2017,25000.00,
Energy Foundation China,2017,25000.00,
Mudge Foundation,2016,25000.00,
Onion Foundation,2016,10000.00,
Elmina B. Sewall Foundation,2015,40000.00,
Global Greengrants Fund Inc,2016,6000.00,
"The New-Land Foundation, Inc.",2016,10000.00,
Environmental Defense Fund Incorporated,2018,51800.00,
Environmental Defense Fund Incorporated,2017,307500.00,
Environmental Defense Fund Incorporated,2017,307500.00,
Environmental Defense Fund Incorporated,2016,62000.00,
"Communities Foundation of Texas, Inc.",2016,10000.00,
The Meadows Foundation,2020,200000.00,
Environmental Defense Fund Incorporated,2016,34833.00,
Environmental Defense Fund Incorporated,2017,25000.00,
Environmental Defense Fund Incorporated,2017,25000.00,
The Cynthia and George Mitchell Foundation,2017,10000.00,
Environmental Defense Fund Incorporated,2016,50000.00,
The Heising-Simons Foundation,2016,165000.00,
Environmental Defense Fund Incorporated,2016,50000.00,
The Heising-Simons Foundation,2015,50000.00,
Ford Foundation,2015,50000.00,
Tides Foundation,2020,50000.00,
The Cynthia and George Mitchell Foundation,2017,20000.00,
Environmental Defense Fund Incorporated,2018,25000.00,
Environmental Defense Fund Incorporated,2017,25000.00,
Brigham Family Foundation,2016,90000.00,
The Meadows Foundation,2020,150000.00,
The Spencer Foundation,2019,50000.00,
"The Mountain Institute, Inc.",2017,105820.00,
"The Mountain Institute, Inc.",2016,134341.00,
"The Mountain Institute, Inc.",2015,72107.00,
Warren Skaaren Charitable Trust,2018,15000.00,
Global Greengrants Fund Inc,2019,5000.00,
Global Greengrants Fund Inc,2019,5000.00,
National Geographic Society,2016,100000.00,
Global Greengrants Fund Inc,2019,1000.00,
Global Greengrants Fund Inc,2019,40000.00,
Global Greengrants Fund Inc,2018,5000.00,
Oak Foundation,2015,1000000.00,
Legacy Alcoa Foundation,2016,20144.00,
Bainbridge Community Foundation,2019,6250.00,
Bernard and Anne Spitzer Charitable Trust,2018,300000.00,
The David and Lucile Packard Foundation,2018,150000.00,
The Wilburforce Foundation,2018,90000.00,
The Wilburforce Foundation,2018,90000.00,
The Wilburforce Foundation,2018,22000.00,
The Wilburforce Foundation,2018,22000.00,
The Horne Family Foundation,2018,20000.00,
Kresge Foundation,2017,100000.00,
The Wilburforce Foundation,2017,90000.00,
The Bullitt Foundation,2017,40000.00,
Nature Conservancy,2017,15000.00,
Nature Conservancy,2017,15000.00,
Curtis & Edith Munson Foundation,2017,10000.00,
"National Audubon Society, Inc.",2017,7500.00,
Robert and Patricia Switzer Foundation,2017,500.00,
Kresge Foundation,2016,675000.00,
Nature Conservancy,2016,8000.00,
AmazonSmile Foundation,2016,28.00,
AmazonSmile Foundation,2016,28.00,
AmazonSmile Foundation,2016,12.00,
The Wilburforce Foundation,2015,85000.00,
The Wilburforce Foundation,2015,75000.00,
Kresge Foundation,2018,300000.00,
Kresge Foundation,2018,150000.00,
Kresge Foundation,2018,75000.00,
The Schmidt Family Foundation,2017,100000.00,
The California Endowment,2017,38925.00,
The California Endowment,2015,155906.00,
Conrad N. Hilton Foundation,2017,50000.00,
Alliance for Open Society International Inc.,2018,165000.00,
"Town Creek Foundation, Inc.",2018,100000.00,
The Annie E. Casey Foundation,2016,125000.00,
Alliance for Open Society International Inc.,2017,250000.00,
"Town Creek Foundation, Inc.",2017,13500.00,
John Ben Snow Memorial Trust,2020,15000.00,
Tides Foundation,2020,75000.00,
The William and Flora Hewlett Foundation,2018,800000.00,
Kresge Foundation,2018,325000.00,
The Nathan Cummings Foundation,2018,150000.00,
Tides Foundation,2018,1000.00,
Kresge Foundation,2017,550000.00,
The William and Flora Hewlett Foundation,2017,400000.00,
Kresge Foundation,2015,500000.00,
The William and Flora Hewlett Foundation,2015,435000.00,
The Kenneth S. Battye Charitable Trust,2018,100000.00,
Global Greengrants Fund Inc,2017,2500.00,
Global Greengrants Fund Inc,2017,4000.00,
Global Greengrants Fund Inc,2017,4500.00,
Global Greengrants Fund Inc,2016,4500.00,
Global Greengrants Fund Inc,2018,4500.00,
Global Greengrants Fund Inc,2017,4000.00,
Global Greengrants Fund Inc,2016,4000.00,
Global Greengrants Fund Inc,2019,3000.00,
Global Greengrants Fund Inc,2017,5000.00,
Barr Foundation,2015,450000.00,
John D. and Catherine T. MacArthur Foundation,2018,1200000.00,
Oak Foundation,2017,699966.00,
John D. and Catherine T. MacArthur Foundation,2016,272000.00,
Grantham Foundation for the Protection,2017,600000.00,
Grantham Foundation for the Protection,2016,600000.00,
Grantham Foundation for the Protection,2015,600000.00,
NoVo Foundation,2018,84000.00,
Charles Stewart Mott Foundation,2017,300000.00,
The David and Lucile Packard Foundation,2015,243667.00,
Charles Stewart Mott Foundation,2015,200000.00,
Global Greengrants Fund Inc,2018,20000.00,
Maine Humanities Council,2019,5000.00,
Onion Foundation,2018,8000.00,
Global Greengrants Fund Inc,2019,4279.00,
Global Greengrants Fund Inc,2017,13800.00,
Liz Claiborne & Art Ortenberg Foundation,2017,19800.00,
Liz Claiborne & Art Ortenberg Foundation,2017,19800.00,
Liz Claiborne & Art Ortenberg Foundation,2015,47000.00,
"American Jewish World Service, Inc.",2020,20000.00,
Global Greengrants Fund Inc,2019,30000.00,
Global Greengrants Fund Inc,2017,30000.00,
V. Kann Rasmussen Foundation Inc.,2016,117000.00,
Global Greengrants Fund Inc,2015,35000.00,
Global Greengrants Fund Inc,2017,5000.00,
Global Greengrants Fund Inc,2016,5000.00,
"Ben & Jerry's Foundation, Inc.",2020,1000.00,
Arctic Slope Community Foundation Inc,2015,26711.00,
"Rockefeller Brothers Fund, Inc.",2019,75000.00,
"Combined Jewish Philanthropies of Greater Boston, Inc.",2018,750000.00,
The William and Flora Hewlett Foundation,2018,150000.00,
The Environment Foundation,2018,2500.00,
The Heising-Simons Foundation,2017,808779.00,
"Combined Jewish Philanthropies of Greater Boston, Inc.",2017,750000.00,
TomKat Foundation,2017,500000.00,
"Rockefeller Brothers Fund, Inc.",2017,150000.00,
The Benificus Foundation,2017,142500.00,
Bobolink Foundation,2017,25000.00,
"The New-Land Foundation, Inc.",2017,20000.00,
"Seed Fund Grants, Inc.",2017,15000.00,
"Seed Fund Grants, Inc.",2017,15000.00,
The Heising-Simons Foundation,2016,906432.00,
"Combined Jewish Philanthropies of Greater Boston, Inc.",2016,750000.00,
Walton Family Foundation,2016,300000.00,
"Rockefeller Brothers Fund, Inc.",2016,75000.00,
"The New-Land Foundation, Inc.",2016,20000.00,
TomKat Foundation,2016,10000.00,
"Combined Jewish Philanthropies of Greater Boston, Inc.",2015,1500000.00,
The Heising-Simons Foundation,2015,889841.00,
Silicon Valley Community Foundation,2015,500000.00,
Silicon Valley Community Foundation,2015,500000.00,
Kresge Foundation,2015,75000.00,
"Rockefeller Brothers Fund, Inc.",2015,75000.00,
Charles Stewart Mott Foundation,2017,80000.00,
Tides Foundation,2020,25000.00,
Kresge Foundation,2018,125000.00,
Kresge Foundation,2017,250000.00,
The George Gund Foundation,2018,15000.00,
The George Gund Foundation,2016,10000.00,
The Charles Léopold Mayer Foundation for Human Progress,2015,111000.00,
"The Max and Victoria Dreyfus Foundation, Inc.",2019,10000.00,
The Henry P. Kendall Foundation,2018,25000.00,
The Summit Foundation,2017,40000.00,
The Henry P. Kendall Foundation,2017,25000.00,
The Henry P. Kendall Foundation,2016,100000.00,
Barr Foundation,2015,1160000.00,
The Henry P. Kendall Foundation,2015,25000.00,
Sea Change Foundation,2017,337500.00,
Sea Change Foundation,2017,337500.00,
Sea Change Foundation,2016,400000.00,
Sea Change Foundation,2016,400000.00,
The David and Lucile Packard Foundation,2016,400000.00,
Flora Family Foundation,2016,50000.00,
Sea Change Foundation,2015,365000.00,
Sea Change Foundation,2015,365000.00,
The David and Lucile Packard Foundation,2015,250000.00,
The William and Flora Hewlett Foundation,2020,1200000.00,
"Rockefeller Brothers Fund, Inc.",2018,400000.00,
"Cassiopeia Foundation, Inc F/K/A Blue Moon Fund, Inc",2015,70000.00,
"Cassiopeia Foundation, Inc F/K/A Blue Moon Fund, Inc",2018,2000000.00,
"Cassiopeia Foundation, Inc F/K/A Blue Moon Fund, Inc",2016,1000000.00,
ClimateWorks Foundation,2016,400000.00,
"Cassiopeia Foundation, Inc F/K/A Blue Moon Fund, Inc",2016,379000.00,
"Rockefeller Brothers Fund, Inc.",2016,250000.00,
Charles Stewart Mott Foundation,2016,200000.00,
"Cassiopeia Foundation, Inc F/K/A Blue Moon Fund, Inc",2016,187000.00,
"Cassiopeia Foundation, Inc F/K/A Blue Moon Fund, Inc",2015,110000.00,
"Rockefeller Brothers Fund, Inc.",2015,1300000.00,
"Rockefeller Brothers Fund, Inc.",2015,150000.00,
The David and Lucile Packard Foundation,2019,200000.00,
"Rockefeller Brothers Fund, Inc.",2019,200000.00,
Silicon Valley Community Foundation,2016,1755400.00,
Ford Foundation,2020,150000.00,
Global Greengrants Fund Inc,2017,2770.00,
Global Greengrants Fund Inc,2016,4459.00,
Onion Foundation,2020,10000.00,
Oak Foundation,2016,855000.00,
The Jordan Fund,2018,20000.00,
The Jordan Fund,2017,7500.00,
The Jordan Fund,2016,7500.00,
The Bullitt Foundation,2016,25000.00,
Charlotte Y. Martin Foundation,2015,25000.00,
Whatcom Community Foundation,2020,10000.00,
Whatcom Community Foundation,2020,225.00,
Seattle Foundation,2020,15000.00,
Seattle Foundation,2019,15000.00,
Seattle Foundation,2017,12500.00,
Seattle Foundation,2016,12500.00,
Whatcom Community Foundation,2020,2125.00,
McKnight Foundation,2020,50000.00,
Wallace Global Fund II,2018,45000.00,
The Libra Foundation,2020,200000.00,
The Libra Foundation,2020,150000.00,
The Libra Foundation,2020,100000.00,
Tides Foundation,2020,50000.00,
Cedar Tree Foundation,2018,30000.00,
Cedar Tree Foundation,2017,30000.00,
Wallace Global Fund II,2016,50000.00,
NoVo Foundation,2016,50000.00,
Tides Foundation,2015,30000.00,
Foundation for Rural & Regional Renewal,2017,3870.00,
Meyer Memorial Trust,2020,31900.00,
Oregon Community Foundation,2018,20000.00,
Oregon Community Foundation,2018,12500.00,
Oregon Community Foundation,2018,9000.00,
Oregon Community Foundation,2018,5000.00,
Oregon Community Foundation,2018,1000.00,
Oregon Community Foundation,2018,1000.00,
Oregon Community Foundation,2018,1000.00,
Oregon Community Foundation,2017,15000.00,
Oregon Community Foundation,2017,10000.00,
Oregon Community Foundation,2017,10000.00,
Oregon Community Foundation,2017,10000.00,
Oregon Community Foundation,2017,7000.00,
Oregon Community Foundation,2017,2500.00,
Oregon Community Foundation,2017,2000.00,
Oregon Community Foundation,2017,1000.00,
Oregon Community Foundation,2017,500.00,
Global Greengrants Fund Inc,2016,3300.00,
Global Greengrants Fund Inc,2018,7000.00,
Global Greengrants Fund Inc,2018,17300.00,
Tides Foundation,2017,30000.00,
Global Greengrants Fund Inc,2016,15000.00,
