R_Name,Year,Amount,
Pembe Hayat LGBTT Dayanisma Dernegi,2019,2000.00,
Ecology Center Inc,2016,45000.00,
HURON RIVER WATERSHED COUNCIL,2016,12500.00,
Michigan League of Conservationvoters Education Fund,2019,10000.00,
Regents of the University of Michigan,2019,76485.00,
Regents of the University of Michigan,2018,1297726.00,
Regents of the University of Michigan,2018,130000.00,
Regents of the University of Michigan,2017,224339.00,
Regents of the University of Michigan,2016,708788.00,
Regents of the University of Michigan,2016,5080.00,
Chesapeake Conservancy,2017,30000.00,
Energy Transition Research Institute,2017,200000.00,
Maryland Climate Coalition / National Wildlife Federation,2019,50000.00,
Maryland Climate Coalition / National Wildlife Federation,2018,125000.00,
Maryland Climate Coalition / National Wildlife Federation,2018,12000.00,
Maryland Climate Coalition / National Wildlife Federation,2016,150000.00,
Maryland Climate Coalition / National Wildlife Federation,2015,225000.00,
Maryland League of Conservation Voters Education Fund,2020,7587.00,
Maryland League of Conservation Voters Education Fund,2018,150000.00,
Maryland League of Conservation Voters Education Fund,2018,10000.00,
Maryland League of Conservation Voters Education Fund,2017,175000.00,
Maryland League of Conservation Voters Education Fund,2017,165000.00,
Maryland League of Conservation Voters Education Fund,2017,40000.00,
Maryland League of Conservation Voters Education Fund,2017,13000.00,
Maryland League of Conservation Voters Education Fund,2017,8000.00,
Maryland League of Conservation Voters Education Fund,2017,500.00,
Maryland League of Conservation Voters Education Fund,2016,250.00,
National Wildlife Federation,2017,35327.00,
Leafe-Faleapuna Environment Committee,2018,5000.00,
MADA Challenge Foundation,2019,2500.00,
Samoa Victim Support Group,2015,200000.00,
Conservation Strategy Fund,2015,325000.00,
Humboldt State University Foundation,2019,316146.00,
Humboldt State University Foundation,2017,371633.00,
Humboldt State University Foundation,2016,487413.00,
Humboldt State University Foundation,2015,385370.00,
Internews,2020,75000.00,
Internews,2019,300000.00,
Internews,2019,65000.00,
Internews,2017,50000.00,
Internews,2017,50000.00,
"Seventh Generation Fund for Indigenous Peoples, Inc.",2018,50000.00,
"Seventh Generation Fund for Indigenous Peoples, Inc.",2016,100000.00,
"Seventh Generation Fund for Indigenous Peoples, Inc.",2016,75000.00,
"Seventh Generation Fund for Indigenous Peoples, Inc.",2015,125000.00,
Costain Consulting,2016,7643.00,
"Mystic River Watershed Association, Inc.",2019,700000.00,
"Mystic River Watershed Association, Inc.",2019,55000.00,
"Mystic River Watershed Association, Inc.",2018,115000.00,
"Mystic River Watershed Association, Inc.",2018,30000.00,
"Kairos Prison Ministry International, Inc.",2018,6000.00,
University of Texas at Arlington,2018,97315.00,
University of Texas at Arlington,2017,120240.00,
University of Texas at Arlington,2016,89230.00,
Amazon Conservation Team,2017,4000.00,
"Center for Climate and Energy Solutions, Inc.",2020,200000.00,
"Center for Climate and Energy Solutions, Inc.",2019,550000.00,
"Center for Climate and Energy Solutions, Inc.",2019,5000.00,
"Center for Climate and Energy Solutions, Inc.",2019,375.00,
"Center for Climate and Energy Solutions, Inc.",2018,500000.00,
"Center for Climate and Energy Solutions, Inc.",2018,337166.00,
"Center for Climate and Energy Solutions, Inc.",2018,250000.00,
"Center for Climate and Energy Solutions, Inc.",2018,4000.00,
"Center for Climate and Energy Solutions, Inc.",2017,500000.00,
"Center for Climate and Energy Solutions, Inc.",2017,200000.00,
"Center for Climate and Energy Solutions, Inc.",2017,189500.00,
"Center for Climate and Energy Solutions, Inc.",2017,50000.00,
"Center for Climate and Energy Solutions, Inc.",2017,35000.00,
"Center for Climate and Energy Solutions, Inc.",2017,6000.00,
"Center for Climate and Energy Solutions, Inc.",2016,500000.00,
"Center for Climate and Energy Solutions, Inc.",2016,360500.00,
"Center for Climate and Energy Solutions, Inc.",2016,150000.00,
"Center for Climate and Energy Solutions, Inc.",2016,50000.00,
"Center for Climate and Energy Solutions, Inc.",2016,300.00,
"Center for Climate and Energy Solutions, Inc.",2015,235000.00,
"Center for Climate and Energy Solutions, Inc.",2015,100000.00,
"Center for Climate and Energy Solutions, Inc.",2015,100000.00,
"Center for Climate and Energy Solutions, Inc.",2015,50000.00,
"Center for Climate and Energy Solutions, Inc.",2015,32500.00,
Conservation International,2020,331448.00,
Conservation International,2020,100000.00,
Conservation International,2019,1621195.00,
Conservation International,2019,60000.00,
Conservation International,2019,25000.00,
Conservation International,2017,200000.00,
Conservation International,2015,2000000.00,
Conservation International,2015,1700000.00,
Energy Innovation Reform Project,2020,500000.00,
Energy Innovation Reform Project,2018,600000.00,
Energy Innovation Reform Project,2017,300000.00,
Energy Innovation Reform Project,2017,40500.00,
Energy Innovation Reform Project,2016,350000.00,
Energy Innovation Reform Project,2015,200000.00,
Energy Innovation Reform Project,2015,100000.00,
Nature Conservancy,2020,887000.00,
Nature Conservancy,2020,250000.00,
Nature Conservancy,2019,3450000.00,
Nature Conservancy,2019,650000.00,
Nature Conservancy,2019,374050.00,
Nature Conservancy,2019,250000.00,
Nature Conservancy,2019,150000.00,
Nature Conservancy,2019,100000.00,
Nature Conservancy,2018,995000.00,
Nature Conservancy,2018,550000.00,
Nature Conservancy,2018,250000.00,
Nature Conservancy,2018,225000.00,
Nature Conservancy,2018,25000.00,
Nature Conservancy,2017,15000000.00,
Nature Conservancy,2017,400000.00,
Nature Conservancy,2017,150000.00,
Nature Conservancy,2017,138333.00,
Nature Conservancy,2017,99800.00,
Nature Conservancy,2017,5000.00,
Nature Conservancy,2016,150000.00,
Nature Conservancy,2016,100000.00,
Nature Conservancy,2016,25000.00,
Nature Conservancy,2016,7000.00,
Nature Conservancy,2016,1000.00,
Nature Conservancy,2015,3970000.00,
Nature Conservancy,2015,1500000.00,
Nature Conservancy,2015,650000.00,
Nature Conservancy,2015,400000.00,
Nature Conservancy,2015,300000.00,
NatureServe,2016,150000.00,
RARE,2019,50000.00,
RARE,2019,40000.00,
RARE,2015,500000.00,
RESTORE AMERICA'S ESTUARIES,2017,20000.00,
RESTORE AMERICA'S ESTUARIES,2017,20000.00,
RESTORE AMERICA'S ESTUARIES,2015,100000.00,
Trout Unlimited National Office,2017,10000.00,
WETA - Greater Washington Educational Telecommunications Association,2019,600000.00,
Climate XChange,2017,,
HEARTLAND INSTITUTE,2018,1000.00,
HEARTLAND INSTITUTE,2017,1000.00,
HEARTLAND INSTITUTE,2017,350.00,
HEARTLAND INSTITUTE,2016,500.00,
Heartland Institute,2015,50000.00,
Rural Initiative for Community Empowerment-West Nile,2020,17000.00,
Community Research and Development Services,2019,,
ILAUTAROK Community Resource Center,2017,5000.00,
Inyuat e MAA Organization,2016,100000.00,
Kitopua Ndomonock-Lake Natron,2019,6000.00,
Nasaru Takano,2018,3500.00,
Pastoralist Indigenous NGOs Forum,2019,20000.00,
Tanzania Wildlife Research Institute,2018,275000.00,
Umoja Wa Maendeleo Ngurdoto,2019,5000.00,
Serengeti Preservation Foundation,2018,5000.00,
Serengeti Preservation Foundation,2017,5000.00,
Serengeti Preservation Foundation,2016,3000.00,
Warm Hearts Warm Babies,2019,500.00,
American Chestnut Foundation,2019,100000.00,
Blue Ridge Forever,2019,25000.00,
Blue Ridge Forever,2018,25000.00,
Blue Ridge Forever,2017,25000.00,
Blue Ridge Forever,2016,25000.00,
Buncombe County Schools Foundation,2016,4500.00,
Creative Thought and Action,2018,27000.00,
Geos Institute,2020,66000.00,
Geos Institute,2019,35000.00,
Geos Institute,2019,25000.00,
Geos Institute,2019,25000.00,
Geos Institute,2019,10000.00,
Geos Institute,2019,8000.00,
Geos Institute,2019,,
Geos Institute,2018,35000.00,
Geos Institute,2018,35000.00,
Geos Institute,2018,30000.00,
Geos Institute,2018,25000.00,
Geos Institute,2018,20000.00,
Geos Institute,2018,10000.00,
Geos Institute,2018,7000.00,
Geos Institute,2018,5000.00,
Geos Institute,2018,3000.00,
Geos Institute,2018,3000.00,
Geos Institute,2018,3000.00,
Geos Institute,2018,3000.00,
Geos Institute,2018,3000.00,
Geos Institute,2018,3000.00,
Geos Institute,2018,3000.00,
Geos Institute,2018,3000.00,
Geos Institute,2018,3000.00,
Geos Institute,2018,3000.00,
Geos Institute,2017,235912.00,
Geos Institute,2017,10000.00,
Geos Institute,2017,10000.00,
Geos Institute,2017,5000.00,
Geos Institute,2017,5000.00,
Geos Institute,2016,360000.00,
Geos Institute,2016,25000.00,
Geos Institute,2016,25000.00,
Geos Institute,2016,2000.00,
KLAMATH SISKIYOU WILDLANDS CENTER,2019,6000.00,
KLAMATH SISKIYOU WILDLANDS CENTER,2016,25000.00,
KLAMATH SISKIYOU WILDLANDS CENTER,2015,25000.00,
Osukuru United Women Network,2020,14824.00,
Osukuru United Women Network,2018,5000.00,
American Renewable Energy Institute,2018,20000.00,
American Renewable Energy Institute,2017,10000.00,
American Renewable Energy Institute,2016,5000.00,
Citizens Climate Education,2019,5000.00,
Citizens Climate Education,2018,20000.00,
Citizens Climate Education,2018,15725.00,
Citizens Climate Education,2018,5000.00,
Citizens Climate Education,2018,5000.00,
Citizens Climate Education,2018,500.00,
Citizens Climate Education,2017,15734.00,
Citizens Climate Education,2017,15734.00,
Citizens Climate Education,2017,1500.00,
Citizens Climate Education,2016,10000.00,
Global Warming Mitigation Project,2020,10000.00,
We-Cycle,2016,2500.00,
Ary Ojasojavo Grupo de Estudios Pra´cticas y Saberes Ancestrales y Populares.,2019,5000.00,
Sobrevivencia,2015,75000.00,
Mediterranean Information Office for Environment Culture and Sustainable Development,2018,500000.00,
Mediterranean Information Office for Environment Culture and Sustainable Development,2017,500000.00,
University of Georgia,2019,150000.00,
City of Athens City Hall,2015,421350.00,
CARE,2016,50.00,
CARE,2016,50.00,
Emory University,2019,35000.00,
Environmental Community Action,2018,75000.00,
Georgia Appleseed,2018,10000.00,
Georgia Appleseed,2017,20000.00,
Georgia Appleseed,2017,20000.00,
Georgia Trust for Historic Pres,2017,15000.00,
Georgia Trust for Historic Pres,2017,15000.00,
Impact France,2016,10000.00,
Partnership for Southern Equity,2018,150000.00,
Partnership for Southern Equity,2017,1000000.00,
Partnership for Southern Equity,2017,300000.00,
Partnership for Southern Equity,2015,100000.00,
Project South The Institution For The Elimination Poverty & Genocide,2015,50000.00,
Southface Energy Institute Inc,2018,20000.00,
Atlantic Rock Island Society,2017,8000.00,
Lake Stewards of Maine,2018,15000.00,
Merry-Go-Round Playhouse,2020,7500.00,
350 Aotearoa,2019,10000.00,
350 Aotearoa,2017,10000.00,
GrowSmart Maine,2020,1000.00,
Maine Conservation Alliance,2018,35000.00,
Maine Conservation Alliance,2017,7500.00,
Maine Timber Research and Environmental Education Foundation,2020,1000.00,
Maine Timber Research and Environmental Education Foundation,2019,10000.00,
Natural Resources Council of Maine,2020,75000.00,
Natural Resources Council of Maine,2019,30000.00,
Natural Resources Council of Maine,2018,60000.00,
Natural Resources Council of Maine,2018,10000.00,
Natural Resources Council of Maine,2018,7500.00,
Natural Resources Council of Maine,2017,60000.00,
Natural Resources Council of Maine,2017,59000.00,
Natural Resources Council of Maine,2017,59000.00,
Natural Resources Council of Maine,2017,25000.00,
Natural Resources Council of Maine,2017,25000.00,
Natural Resources Council of Maine,2016,25000.00,
Natural Resources Council of Maine,2016,10000.00,
Natural Resources Council of Maine,2015,40000.00,
Cooperativa Mixta de Auratá Kuwsua Prana,2016,6000.00,
"Bat Conservation International, Inc.",2016,10000.00,
Environment Texas Research and Policy Center Inc,2018,51800.00,
Environment Texas Research and Policy Center Inc,2017,307500.00,
Environment Texas Research and Policy Center Inc,2017,307500.00,
Environment Texas Research and Policy Center Inc,2016,62000.00,
Environmental Defense Fund - Austin,2016,10000.00,
National Wildlife Federation,2020,200000.00,
National Wildlife Federation,2016,34833.00,
Pecan Street Inc,2017,25000.00,
Pecan Street Inc,2017,25000.00,
Pecan Street Inc,2017,10000.00,
Pecan Street Inc,2016,50000.00,
South Central Partnership for Energy Efficiency as a Resource,2016,165000.00,
South Central Partnership for Energy Efficiency as a Resource,2016,50000.00,
South Central Partnership for Energy Efficiency as a Resource,2015,50000.00,
Strongheart Group,2015,50000.00,
Texas Freedom Network,2020,50000.00,
Texas IMPACT Education Fund,2017,20000.00,
Texas Prop Assessed Clean Energy Authority,2018,25000.00,
Texas Prop Assessed Clean Energy Authority,2017,25000.00,
Texas Public Policy Foundation,2016,90000.00,
University of Texas at Austin,2020,150000.00,
University of Texas at Austin,2019,50000.00,
University of Texas at Austin,2017,105820.00,
University of Texas at Austin,2016,134341.00,
University of Texas at Austin,2015,72107.00,
University of Texas Plan II Program,2018,15000.00,
Federación Regional de Mujeres Indígenas de Ayacucho,2019,5000.00,
Comunidad Campesina de Lucanamarca,2019,5000.00,
Rural Renewable Energy Alliance,2016,100000.00,
Indigenous Youth of Tomorrow,2019,1000.00,
Tebtebba,2019,40000.00,
Tebtebba,2018,5000.00,
"Tebtebba Foundation, Inc.",2015,1000000.00,
Organisme de Bassins Versants Manicouagan,2016,20144.00,
Ecoadapt,2019,6250.00,
Ecoadapt,2018,300000.00,
Ecoadapt,2018,150000.00,
Ecoadapt,2018,90000.00,
Ecoadapt,2018,90000.00,
Ecoadapt,2018,22000.00,
Ecoadapt,2018,22000.00,
Ecoadapt,2018,20000.00,
Ecoadapt,2017,100000.00,
Ecoadapt,2017,90000.00,
Ecoadapt,2017,40000.00,
Ecoadapt,2017,15000.00,
Ecoadapt,2017,15000.00,
Ecoadapt,2017,10000.00,
Ecoadapt,2017,7500.00,
Ecoadapt,2017,500.00,
Ecoadapt,2016,675000.00,
Ecoadapt,2016,8000.00,
Ecoadapt,2016,28.00,
Ecoadapt,2016,28.00,
Ecoadapt,2016,12.00,
Ecoadapt,2015,85000.00,
Ecoadapt,2015,75000.00,
EcoAdapt,2018,300000.00,
EcoAdapt,2018,150000.00,
EcoAdapt,2018,75000.00,
American Lung Association,2017,100000.00,
Faith in Action Kern County,2017,38925.00,
Faith in Action Kern County,2015,155906.00,
The Victoria House Foundation,2017,50000.00,
Advocates for Children and Youth,2018,165000.00,
Chesapeake Physicians for Social Responsibility,2018,100000.00,
East Baltimore Community School,2016,125000.00,
Family League of Baltimore City,2017,250000.00,
Maryland Environmental Health Network,2017,13500.00,
"National Aquarium, Inc.",2020,15000.00,
National Association For the Advancement of Colored People,2020,75000.00,
National Association For the Advancement of Colored People,2018,800000.00,
National Association For the Advancement of Colored People,2018,325000.00,
National Association For the Advancement of Colored People,2018,150000.00,
National Association For the Advancement of Colored People,2018,1000.00,
National Association For the Advancement of Colored People,2017,550000.00,
National Association For the Advancement of Colored People,2017,400000.00,
National Association For the Advancement of Colored People,2015,500000.00,
National Association For the Advancement of Colored People,2015,435000.00,
Thread,2018,100000.00,
Association des Jeunes Volontaires pour le Progrès des 11 Communes de Macina,2017,2500.00,
Association KEN-DENW,2017,4000.00,
Association Malienne d'Appui aux Initiatives Locales,2017,4500.00,
Association Malienne d'Appui aux Initiatives Locales,2016,4500.00,
Association Malienne pour la Promotion Economique et Sociale,2018,4500.00,
Association Malienne pour la Promotion Economique et Sociale,2017,4000.00,
Association pour la Promotion des Femmes de Baco Djicoroni,2016,4000.00,
Association Sinignèsigi,2019,3000.00,
Community Initiative for Sustainable Environment and Gender De,2017,5000.00,
Ashoka Trust for Research in Ecology and the Environment,2015,450000.00,
"Center for Study of Science, Technology and Policy",2018,1200000.00,
"Center for Study of Science, Technology and Policy",2017,699966.00,
"Center for Study of Science, Technology and Policy",2016,272000.00,
Divecha Centre for Climate Change,2017,600000.00,
Divecha Centre for Climate Change,2016,600000.00,
Divecha Centre for Climate Change,2015,600000.00,
Pipal Tree,2018,84000.00,
SELCO Foundation,2017,300000.00,
SELCO Foundation,2015,243667.00,
SELCO Foundation,2015,200000.00,
Climate Watch Thailand,2018,20000.00,
Maine Discovery Museum,2019,5000.00,
Maine Discovery Museum,2018,8000.00,
"Foundation Factory of Joy""""",2019,4279.00,
Plataforma Resposta al MidcAT,2017,13800.00,
International Crane Foundation,2017,19800.00,
International Crane Foundation,2017,19800.00,
International Crane Foundation,2015,47000.00,
Genetic Resources Action International,2020,20000.00,
Genetic Resources Action International,2019,30000.00,
Genetic Resources Action International,2017,30000.00,
Genetic Resources Action International,2016,117000.00,
Genetic Resources Action International,2015,35000.00,
Takkom Jerry Polyvalence Culturelle,2017,5000.00,
Asociación de Artistas de Barrancas,2016,5000.00,
Central Vermont Community Action Council,2020,1000.00,
Ilisagvik College,2015,26711.00,
Aspen Global Change Institute Inc,2019,75000.00,
Aspen Global Change Institute Inc,2018,750000.00,
Aspen Global Change Institute Inc,2018,150000.00,
Aspen Global Change Institute Inc,2018,2500.00,
Aspen Global Change Institute Inc,2017,808779.00,
Aspen Global Change Institute Inc,2017,750000.00,
Aspen Global Change Institute Inc,2017,500000.00,
Aspen Global Change Institute Inc,2017,150000.00,
Aspen Global Change Institute Inc,2017,142500.00,
Aspen Global Change Institute Inc,2017,25000.00,
Aspen Global Change Institute Inc,2017,20000.00,
Aspen Global Change Institute Inc,2017,15000.00,
Aspen Global Change Institute Inc,2017,15000.00,
Aspen Global Change Institute Inc,2016,906432.00,
Aspen Global Change Institute Inc,2016,750000.00,
Aspen Global Change Institute Inc,2016,300000.00,
Aspen Global Change Institute Inc,2016,75000.00,
Aspen Global Change Institute Inc,2016,20000.00,
Aspen Global Change Institute Inc,2016,10000.00,
Aspen Global Change Institute Inc,2015,1500000.00,
Aspen Global Change Institute Inc,2015,889841.00,
Aspen Global Change Institute Inc,2015,500000.00,
Aspen Global Change Institute Inc,2015,500000.00,
Aspen Global Change Institute Inc,2015,75000.00,
Aspen Global Change Institute Inc,2015,75000.00,
Alliance of Religions and Conservation,2017,80000.00,
Baton Rouge Sponsoring Committee,2020,25000.00,
Center for Planning Excellence,2018,125000.00,
Center for Planning Excellence,2017,250000.00,
Lake Erie Nature & Science Center,2018,15000.00,
Lake Erie Nature & Science Center,2016,10000.00,
Alternatiba,2015,111000.00,
"Hudson River Sloop Clearwater, Inc.",2019,10000.00,
Innovation Network for Communities,2018,25000.00,
Innovation Network for Communities,2017,40000.00,
Innovation Network for Communities,2017,25000.00,
Innovation Network for Communities,2016,100000.00,
Innovation Network for Communities,2015,1160000.00,
Innovation Network for Communities,2015,25000.00,
Resource Media,2017,337500.00,
Resource Media,2017,337500.00,
Resource Media,2016,400000.00,
Resource Media,2016,400000.00,
Resource Media,2016,400000.00,
Resource Media,2016,50000.00,
Resource Media,2015,365000.00,
Resource Media,2015,365000.00,
Resource Media,2015,250000.00,
Beijing Institute of Finance and Sustainability,2020,1200000.00,
China Global Philanthropy Institute,2018,400000.00,
China University of Mining and Technology,2015,70000.00,
Global Environmental Institute,2018,2000000.00,
Global Environmental Institute,2016,1000000.00,
Global Environmental Institute,2016,400000.00,
Global Environmental Institute,2016,379000.00,
Global Environmental Institute,2016,250000.00,
Global Environmental Institute,2016,200000.00,
Global Environmental Institute,2016,187000.00,
Global Environmental Institute,2015,110000.00,
Institute of Public and Environmental Affairs,2015,1300000.00,
Shangri la Institute for Sustainable Communities,2015,150000.00,
Shenzhen GoalBlue Low Carbon Development Promoting Center,2019,200000.00,
Shenzhen GoalBlue Low Carbon Development Promoting Center,2019,200000.00,
Shenzhen GoalBlue Low Carbon Development Promoting Center,2016,1755400.00,
Tsinghua University Education Foundation,2020,150000.00,
Arab Youth Climate Movement Lebanon,2017,2770.00,
Arab Youth Climate Movement Lebanon,2016,4459.00,
Maine Farmland Trust,2020,10000.00,
University of Belize,2016,855000.00,
Kindering Center,2018,20000.00,
Kindering Center,2017,7500.00,
Kindering Center,2016,7500.00,
Conservation Nw,2016,25000.00,
Conservation Nw,2015,25000.00,
Habitat for Humanity in Whatcom County,2020,10000.00,
Kulshan Community Land Trust,2020,225.00,
Western Washington University Foundation,2020,15000.00,
Western Washington University Foundation,2019,15000.00,
Western Washington University Foundation,2017,12500.00,
Western Washington University Foundation,2016,12500.00,
Whatcom Land Trust,2020,2125.00,
Bemidji State University,2020,50000.00,
Indigenous Educational Network Of,2018,45000.00,
Indigenous Environmental Network,2020,200000.00,
Indigenous Environmental Network,2020,150000.00,
Indigenous Environmental Network,2020,100000.00,
Indigenous Environmental Network,2020,50000.00,
Indigenous Environmental Network,2018,30000.00,
Indigenous Environmental Network,2017,30000.00,
Indigenous Environmental Network,2016,50000.00,
Indigenous Environmental Network,2016,50000.00,
Indigenous Environmental Network,2015,30000.00,
Bernard Briggs Kindergarten,2017,3870.00,
Central Oregon Environmental Center Inc,2020,31900.00,
Central Oregon Environmental Center Inc,2018,20000.00,
Central Oregon Environmental Center Inc,2018,12500.00,
Central Oregon Environmental Center Inc,2018,9000.00,
Central Oregon Environmental Center Inc,2018,5000.00,
Central Oregon Environmental Center Inc,2018,1000.00,
Central Oregon Environmental Center Inc,2018,1000.00,
Central Oregon Environmental Center Inc,2018,1000.00,
Central Oregon Environmental Center Inc,2017,15000.00,
Central Oregon Environmental Center Inc,2017,10000.00,
Central Oregon Environmental Center Inc,2017,10000.00,
Central Oregon Environmental Center Inc,2017,10000.00,
Central Oregon Environmental Center Inc,2017,7000.00,
Central Oregon Environmental Center Inc,2017,2500.00,
Central Oregon Environmental Center Inc,2017,2000.00,
Central Oregon Environmental Center Inc,2017,1000.00,
Central Oregon Environmental Center Inc,2017,500.00,
The Young Environmentalists Network,2016,3300.00,
Foundation for Good Governance and Social Change,2018,7000.00,
Health of Mother Earth Foundation,2018,17300.00,
Health of Mother Earth Foundation,2017,30000.00,
Health of Mother Earth Foundation,2016,15000.00,
Health of Mother Earth Foundation,2015,30000.00,
Rural Alliance for Green Environment,2016,4000.00,
Yasuni Association,2019,4000.00,
Yasuni Association,2018,5000.00,
Yasuni Association,2016,4000.00,
Berkeley Earth,2019,100000.00,
Berkeley Earth,2017,100000.00,
Berkeley Earth,2017,10000.00,
Berkeley Earth,2016,100000.00,
Berkeley Earth,2016,10000.00,
Berkeley Earth,2016,10000.00,
Berkeley Earth,2015,50000.00,
Calthorpe Associates,2017,150000.00,
Calthorpe Associates,2016,450000.00,
Cazadero Performing Arts Camp Inc,2015,154000.00,
Center for the Study of the Americas (CENSA),2015,37800.00,
Climate Defense Project,2019,5000.00,
